音乐图片链接地址,专辑名称,歌手,发型时间,专辑,风格,评分,评价人数,专辑详情链接
https://img2.doubanio.com/view/subject/s/public/s2967252.jpg,We Sing. We Dance. We Steal Things.,Jason Mraz , 2008-05-13 , Import , 民谣,9.1,116545,https://music.douban.com/subject/2995812/
https://img2.doubanio.com/view/subject/s/public/s3054604.jpg,Viva La Vida(Death And All His Friends),Coldplay , 2008-06-17 , 专辑 , 摇滚,9.0,119533,https://music.douban.com/subject/3040149/
https://img2.doubanio.com/view/subject/s/public/s1441645.jpg,华丽的冒险(華麗的冒險),陈绮贞 , 2005-09-23 , 专辑 , 流行,9.0,91562,https://music.douban.com/subject/1427374/
https://img2.doubanio.com/view/subject/s/public/s3750422.jpg,范特西(Fantasy),周杰伦 , 2001-09-14 , 专辑 , 流行,9.5,181711,https://music.douban.com/subject/1403307/
https://img2.doubanio.com/view/subject/s/public/s3316597.jpg,後。青春期的詩(后青春期的诗),五月天 , 2008-10-23 , 专辑 , 摇滚,9.0,96324,https://music.douban.com/subject/3259411/
https://img2.doubanio.com/view/subject/s/public/s4653287.jpg,是时候(It&#39;s Time),孙燕姿 , 2011-03-08 , 专辑 , 流行,8.7,82847,https://music.douban.com/subject/5958397/
https://img2.doubanio.com/view/subject/s/public/s3259484.jpg,Lenka,Lenka , 2008-09-23 , 专辑 , 流行,8.6,83666,https://music.douban.com/subject/3184419/
https://img2.doubanio.com/view/subject/s/public/s2874587.jpg,Start from Here(从这里开始),王若琳 , 2008-01-11 , 专辑 , 爵士,8.8,76419,https://music.douban.com/subject/3041487/
https://img2.doubanio.com/view/subject/s/public/s2617173.jpg,旅行的意义,陈绮贞 , 2004-02-02 , 单曲 , 流行,9.1,100280,https://music.douban.com/subject/1395089/
https://img2.doubanio.com/view/subject/s/public/s3570839.jpg,太阳(Immortal),陈绮贞 , 2009-01-22 , 专辑 , 流行,8.8,77606,https://music.douban.com/subject/3390002/
https://img2.doubanio.com/view/subject/s/public/s2821080.jpg,Once (Soundtrack)(Once / 电影《曾经》原声大碟),"Glen Hansard,Marketa Irglova ", 2007-05-22 , Soundtrack , 原声,9.2,73365,https://music.douban.com/subject/2131368/
https://img2.doubanio.com/view/subject/s/public/s1431228.jpg,Not Going Anywhere(守候),Keren Ann , 2004-08-24 , Import , 民谣,8.9,62562,https://music.douban.com/subject/1394765/
https://img2.doubanio.com/view/subject/s/public/s34945836.jpg,American Idiot,Green Day , 2004-09-21 , Explicit Lyrics , 摇滚,9.0,73900,https://music.douban.com/subject/1396380/
https://img2.doubanio.com/view/subject/s/public/s2591057.jpg,思念是一种病(OK),张震岳 Csun Yuk , 2007-07-06 , 专辑 , 流行,8.8,83633,https://music.douban.com/subject/2134548/
https://img2.doubanio.com/view/subject/s/public/s2757483.jpg,無與倫比的美麗(无与伦比的美丽),苏打绿 , 2007-11-02 , 专辑 , 流行,8.8,90951,https://music.douban.com/subject/3717116/
https://img2.doubanio.com/view/subject/s/public/s2604331.jpg,亲爱的...我还不知道(親愛的…我還不知道),张悬 , 2007-07-20 , 专辑 , 流行,8.8,67199,https://music.douban.com/subject/2131595/
https://img2.doubanio.com/view/subject/s/public/s3786340.jpg,城市(The City),张悬 , 2009-05-22 , 专辑 , 摇滚,8.7,66195,https://music.douban.com/subject/3801228/
https://img2.doubanio.com/view/subject/s/public/s2838077.jpg,O,Damien Rice , 2003 , 专辑 , 流行,9.1,53143,https://music.douban.com/subject/1394590/
https://img2.doubanio.com/view/subject/s/public/s3572868.jpg,Wake Me Up When September Ends(九月结束的时候叫醒我),Green Day , 2005-06-13 , 单曲 , 摇滚,9.4,54764,https://music.douban.com/subject/1431596/
https://img2.doubanio.com/view/subject/s/public/s29265961.jpg,叶惠美(葉惠美 / Yeh Hui-Mei),周杰伦 , 2003-07-31 , 专辑 , 流行,9.3,110666,https://music.douban.com/subject/1406522/
https://img2.doubanio.com/view/subject/s/public/s3737076.jpg,七里香(Common Jasmin Orange),周杰伦 , 2004 , 专辑 , 流行,9.1,170187,https://music.douban.com/subject/1401853/
https://img2.doubanio.com/view/subject/s/public/s4527315.jpg,21,Adele , 2011-01-24 , 专辑 , 流行,9.3,75371,https://music.douban.com/subject/5351500/
https://img2.doubanio.com/view/subject/s/public/s1884457.jpg,My Life Will...,张悬 , 2006-06-09 , 专辑 , 流行,8.8,59262,https://music.douban.com/subject/1788174/
https://img2.doubanio.com/view/subject/s/public/s3336480.jpg,寓言,王菲 , 2000 , 专辑 , 流行,9.4,70488,https://music.douban.com/subject/1402531/
https://img2.doubanio.com/view/subject/s/public/s6987806.jpg,你在煩惱什麼(你在烦恼什么),苏打绿 , 2011-11-11 , 专辑 , 流行,9.0,58954,https://music.douban.com/subject/6816154/
https://img2.doubanio.com/view/subject/s/public/s4039591.jpg,感官/世界(Senses Around),林宥嘉 , 2009-10-30 , 专辑 , 流行,8.6,60079,https://music.douban.com/subject/4738592/
